outcome,consec_coding,n_appearances,beta3,se,t,p_value
release_speed,consec_intensity_3,33252,0.022788742395834262,0.020044445770949552,1.1369105764381884,0.25616627743067766
pfx_x,consec_intensity_3,33252,-0.0005122035392569509,0.003049041992071992,-0.16798835194423817,0.8666661135680931
pfx_z,consec_intensity_3,33252,0.0015121812939269243,0.002686816357823085,0.5628152774654556,0.573834274275415
xBAA,consec_intensity_3,28767,0.001186739651450641,0.0028973487735577687,0.4095950277996379,0.6822932949094636
