outcome,consec_coding,n_appearances,beta3,se,t,p_value
release_speed,consec_intensity_3,18824,0.029403397671468816,0.024487574618636657,1.2007476497525766,0.23083574872561696
pfx_x,consec_intensity_3,18824,0.003482487679376532,0.0038411322934694125,0.9066304967671542,0.36536014225274593
pfx_z,consec_intensity_3,18824,0.004723075279164982,0.0031124996844939658,1.5174540587729781,0.1302489755644647
xBAA,consec_intensity_3,16370,-0.0015962003412120153,0.003741250720316444,-0.4266488563688148,0.6699538488410792
